Potra2c131s34673	ATCG00860
Potra2c131s34674	ATCG00860
Potra2c131s34675	ATCG00860
Potra2c131s34676	ATCG00830
Potra2c131s34678	ATCG00790
Potra2c131s34679	ATCG00780
Potra2c131s34680	ATCG00770
Potra2c131s34681	ATCG00750
Potra2c131s34682	ATCG00580
Potra2c131s34683	ATCG00540
Potra2c131s34684	ATCG00530
Potra2c131s34685	ATCG00500
Potra2c131s34686	ATCG00380
Potra2c131s34687	ATCG00340
Potra2c131s34688	ATCG00330
Potra2c131s34689	ATCG00270
Potra2c131s34690	ATCG00020
Potra2c499s35820	ATCG00890
Potra2c499s35821	ATCG00900
Potra2c499s35823	ATCG01110
Potra2c499s35825	ATCG00900
Potra2c499s35826	ATCG00890
Potra2c499s35829	ATCG00860
Potra2c499s35830	ATCG00830
Potra2c868s36850	ATCG00900
Potra2c868s36851	ATCG00890
Potra2c868s36854	ATCG00860
Potra2n1000s36919	AT4G03230
Potra2n1000s36920	AT2G19130
Potra2n1014s36921	AT3G09440
Potra2n1015s36923	AT3G17680
Potra2n1015s36924	AT5G48050
Potra2n1022s36931	AT2G21270
Potra2n1022s36932	AT2G16500
Potra2n1025s36935	AT5G35810
Potra2n1028s36937	AT3G07930
Potra2n1032s36938	AT2G34930
Potra2n1041s36943	AT5G54580
Potra2n1042s36944	AT1G03670
Potra2n1048s36945	AT3G20500
Potra2n1048s36946	AT5G54890
Potra2n1049s36947	AT1G15690
Potra2n1049s36949	AT4G23160
Potra2n1049s36950	AT4G23160
Potra2n1052s36951	AT5G36220
Potra2n1055s36952	AT1G71500
Potra2n1055s36953	AT3G14470
Potra2n1058s36954	AT2G35990
Potra2n1059s36955	AT5G55490
Potra2n1069s36958	AT2G19130
Potra2n1069s36960	AT4G23160
Potra2n106s34534	AT1G07650
Potra2n106s34535	AT1G21280
Potra2n106s34536	AT1G21280
Potra2n106s34540	AT4G33420
Potra2n106s34541	AT1G50410
Potra2n106s34543	AT3G14470
Potra2n106s34546	AT3G14470
Potra2n106s34547	AT4G15093
Potra2n106s34550	AT1G07650
Potra2n106s34552	AT3G14470
Potra2n106s34555	AT1G07650
Potra2n1070s36961	AT5G46330
Potra2n1070s36963	AT2G17080
Potra2n1070s36964	AT5G44265
Potra2n1075s36965	AT3G26210
Potra2n1085s36968	AT1G66390
Potra2n10c20097	AT5G23450
Potra2n10c20098	AT5G08410
Potra2n10c20099	AT5G08390
Potra2n10c20100	AT5G08380
Potra2n10c20102	AT5G63670
Potra2n10c20103	AT5G08570
Potra2n10c20104	AT5G08540
Potra2n10c20105	AT4G37930
Potra2n10c20106	AT5G23395
Potra2n10c20107	AT1G50370
Potra2n10c20108	AT3G54540
Potra2n10c20109	AT5G08560
Potra2n10c20110	AT1G78920
Potra2n10c20111	AT1G16790
Potra2n10c20112	AT5G07610
Potra2n10c20114	AT3G20220
Potra2n10c20115	AT2G24400
Potra2n10c20116	AT1G16800
Potra2n10c20117	AT1G78900
Potra2n10c20119	AT1G50430
Potra2n10c20120	AT1G50430
Potra2n10c20121	AT2G03070
Potra2n10c20123	AT1G50440
Potra2n10c20124	AT1G16840
Potra2n10c20126	AT1G16860
Potra2n10c20127	AT1G51560
Potra2n10c20128	AT1G51550
Potra2n10c20129	AT1G51540
Potra2n10c20130	AT1G71070
Potra2n10c20131	AT3G21150
Potra2n10c20134	AT1G51580
Potra2n10c20135	AT1G51600
Potra2n10c20136	AT3G23390
Potra2n10c20137	AT3G21160
Potra2n10c20138	AT1G51610
Potra2n10c20139	AT3G47110
Potra2n10c20141	AT5G10695
Potra2n10c20142	AT2G44120
Potra2n10c20145	AT1G51580
Potra2n10c20146	AT3G21175
Potra2n10c20147	AT3G21180
Potra2n10c20148	AT1G51630
Potra2n10c20149	AT4G31540
Potra2n10c20150	AT3G21200
Potra2n10c20151	AT1G73090
Potra2n10c20152	AT1G51650
Potra2n10c20153	AT5G49830
Potra2n10c20155	AT3G21215
Potra2n10c20156	AT1G17745
Potra2n10c20157	AT1G73050
Potra2n10c20158	AT1G55915
Potra2n10c20159	AT3G21220
Potra2n10c20160	AT1G61610
Potra2n10c20161	AT3G13320
Potra2n10c20162	AT2G28690
Potra2n10c20163	AT2G33840
Potra2n10c20164	AT1G10865
Potra2n10c20165	AT1G16880
Potra2n10c20166	AT1G73120
Potra2n10c20167	AT1G13490
Potra2n10c20168	AT3G48150
Potra2n10c20169	AT1G10865
Potra2n10c20170	AT1G73120
Potra2n10c20171	AT1G13490
Potra2n10c20174	AT3G56850
Potra2n10c20175	AT3G16260
Potra2n10c20176	AT3G10730
Potra2n10c20177	AT5G04980
Potra2n10c20179	AT3G10720
Potra2n10c20180	AT3G10710
Potra2n10c20181	AT3G20770
Potra2n10c20183	AT3G10660
